Words,Topic 1,Topic 2,Topic 3
00,0.0011723209288920732,0.0012453466051895222,0.0006344009014569934
098,0.0027238098711398853,0.002506418780940501,0.0036510665075636887
10,0.003520903392795146,0.003698807647000963,0.002803619110007266
100,0.010550532905546917,0.00293241372960079,0.010924656396239588
1098,0.00407985639366455,0.0005755644974994226,0.00481360711497112
110,7.589022990765896e-05,0.000659395533616634,0.0018125626991898358
12,0.0011723209288918655,0.0012453466051894739,0.0006344009014584872
15,0.0035658085252702537,0.0032936984110209407,0.0016743946310783502
1557,0.003468554841964022,0.0030984932787674058,0.0031841860696684926
1585,0.0040798563936645495,0.0005755644974994368,0.004813607114971091
1657,0.007356044201446543,0.012342734039506536,0.018270970431994358
1671,0.004107298837264674,0.006374295777136601,0.001847508213158509
1696,0.006517736718503057,0.0028952464727074793,0.0061096912493326366
1771,0.0020297557151403205,0.002651187435922745,0.0013133367717802927
1796,0.0020297557151403205,0.002651187435922745,0.0013133367717802927
1800,0.0019619821090442204,0.0013105893418758631,0.002886618264346961
1957,0.0020297557151403205,0.002651187435922745,0.0013133367717802927
25,0.0040798563936645495,0.0005755644974993926,0.0048136071149711464
28,0.00418337096440307,0.0027940076198230556,0.001514750550682889
2its,0.001044612990439941,0.004039902773748715,0.00791032069607581
300,8.069937226847158e-05,0.0009878523408683505,0.002205873581445653
30ish,0.00021346568714761808,0.000676535019867821,0.0013349595663627164
33,7.589022990765922e-05,0.0006593955336165863,0.0018125626991898547
350,0.0001997063717382844,0.0004075190656988771,0.001427533285656328
400,0.004288351929614898,0.006090451917438377,0.012255801207982812
450,7.589022990765922e-05,0.0006593955336165863,0.0018125626991898547
50,0.0001997063717382844,0.0004075190656988771,0.001427533285656328
500,0.00510313427674602,0.00229719750769208,4.0763487576849625e-05
7pm,0.0008433986037869358,0.002923530980163079,0.006285799947656119
800,7.589022990765922e-05,0.0006593955336165863,0.0018125626991898547
abajo,0.006087483266270227,0.009657337698432484,0.004966835739011714
abarrotado,0.001172320928891866,0.0012453466051894758,0.000634400901458474
abierta,0.0035658085252702532,0.003293698411020938,0.00167439463107837
abiertas,0.0038024186696745234,3.741204351839792e-06,0.004228169386051761
abierto,0.0069415359661916445,0.005370275865118197,0.0077102265507169405
